PDV,Latitud Facturacion,Longitud Facturacion,Latitud Check in ,Longitud Check in ,Latitud FA,Longitud FA
PG13584|BENAVIDES SUC. URUGUAY,19.4310292,-99.1399724,,,, 
PG13743|FARMACIAS DEL AHORRO SUC. SANTIAGO TIANGUISTENGO II,19.17851086,-99.46604271,19.2306546,-99.6295485,, 
PG13743|FARMACIAS DEL AHORRO SUC. SANTIAGO TIANGUISTENGO II,19.17851086,-99.46604271,,,, 
PG13799|WALMART SUC. TERCER ANILLO,19.28083014,-103.7320936,,,, 
PG13853|FARMACIAS GUADALAJARA SUC. ALVARO OBREGON SAN ANGEL,19.349986,-99.190901,19.3821056,-99.1932791,, 
PG13853|FARMACIAS GUADALAJARA SUC. ALVARO OBREGON SAN ANGEL,19.349986,-99.190901,19.3820982,-99.1932734,, 
PG13853|FARMACIAS GUADALAJARA SUC. ALVARO OBREGON SAN ANGEL,19.349986,-99.190901,19.3821104,-99.1932666,, 
PG13853|FARMACIAS GUADALAJARA SUC. ALVARO OBREGON SAN ANGEL,19.349986,-99.190901,,,, 
PG13924|FARMACIAS DEL AHORRO SUC. REVOLUCION EUROPA,25.62987,-100.272753,25.6207695,-100.2671983,, 
PG14297|FARMACIAS GUADALAJARA SUC. AZCAPOTZALCO PRO HOGAR,19.474317,-99.15251867,19.4866986,-99.217331,, 
PG14443|FARMACIAS GUADALAJARA SUC. TLALPAN AV. OPICHEN,19.295527,-99.232149,,,, 
PG14845|BODEGA AURRERA SUC. ALMOLOYA,19.36096649,-99.75245554,19.3253891,-99.7344014,, 
PG14921|FARMACIAS KLYNS SUC. CAMPESTRE,25.554106,-103.498635,25.5447784,-103.5189869,, 
PG14921|FARMACIAS KLYNS SUC. CAMPESTRE,25.554106,-103.498635,25.5535789,-103.4923993,, 
PG14921|FARMACIAS KLYNS SUC. CAMPESTRE,25.554106,-103.498635,,,, 
PG14936|BENAVIDES SUC. CENTENARIO,19.3577773,-99.1634045,19.3748336,-99.1631284,, 
PG14936|BENAVIDES SUC. CENTENARIO,19.3577773,-99.1634045,19.3748039,-99.1631718,, 
PG14936|BENAVIDES SUC. CENTENARIO,19.3577773,-99.1634045,,,, 
PG14940|FARMACIAS GUADALAJARA SUC. IZTAPALAPA SANTA CRUZ,19.34912444,-99.03849467,19.3446701,-99.0244982,, 
PG14961|FARMACIAS GUADALAJARA SUC. XALISCO NUEVO PROGRESO,21.4598554,-104.893436,21.4656735,-104.8891635,, 
PG14961|FARMACIAS GUADALAJARA SUC. XALISCO NUEVO PROGRESO,21.4598554,-104.893436,21.4837722,-104.8877716,, 
PG14961|FARMACIAS GUADALAJARA SUC. XALISCO NUEVO PROGRESO,21.4598554,-104.893436,,,, 
PG15159|FARMACIAS DEL AHORRO SUC. PERIFERICO OTE.,19.3359136,-99.0640883,19.35087105,-99.07389372,, 
PG15159|FARMACIAS DEL AHORRO SUC. PERIFERICO OTE.,19.3359136,-99.0640883,,,, 
PG15169|FARMACIAS DEL AHORRO SUC. MIRAVALLE,21.47342154,-104.8899328,21.5261694,-104.8877547,, 
PG15169|FARMACIAS DEL AHORRO SUC. MIRAVALLE,21.47342154,-104.8899328,21.5116638,-104.8917388,, 
PG15169|FARMACIAS DEL AHORRO SUC. MIRAVALLE,21.47342154,-104.8899328,,,, 
PG15295|FARMACIAS ROMA SUC. VILLAS DEL CAMPO,32.5080407,-116.735796,32.5079819,-116.7355764,, 
PG15473|FARMACIAS ROMA SUC. MIRADOR,32.52912429,-117.0895901,32.5332801,-117.0471657,, 
PG15524|BENAVIDES SUC. SANTIAGO IXCUINTLA,21.8078228,-105.2058337,21.5108446,-104.8920865,, 
PG15536|FARMACIAS ROMA SUC. EL REFUGIO,32.46123545,-116.8803682,32.4578274,-116.9249992,, 
PG15536|FARMACIAS ROMA SUC. EL REFUGIO,32.46123545,-116.8803682,,,, 
PG15738|FARMACIAS DEL AHORRO SUC. TULTEPEC CENTRO,19.679814,-99.142913,,,, 
PG15942|FARMACIAS DEL AHORRO SUC. TEZONTLE,19.3831,-99.08979,19.3823409,-99.1014795,, 
PG15947|FARMACIAS DEL AHORRO SUC. MADRID,19.35668043,-99.16789214,19.3735842,-99.1625946,, 
PG16006|ALSUPER SUC. EQUUS,28.66724,-105.991827,,,, 
PG16413|FARMACIAS GUADALAJARA SUC. MAZATLAN GABRIEL LEYVA,23.226852,-106.399216,23.2572017,-106.43977,, 
PG16413|FARMACIAS GUADALAJARA SUC. MAZATLAN GABRIEL LEYVA,23.226852,-106.399216,23.2317487,-106.4194789,, 
PG16413|FARMACIAS GUADALAJARA SUC. MAZATLAN GABRIEL LEYVA,23.226852,-106.399216,23.2352895,-106.4211882,, 
PG16413|FARMACIAS GUADALAJARA SUC. MAZATLAN GABRIEL LEYVA,23.226852,-106.399216,23.2316369,-106.4195128,, 
PG16413|FARMACIAS GUADALAJARA SUC. MAZATLAN GABRIEL LEYVA,23.226852,-106.399216,,,, 
